project_id,contributor_count
8465995,30
19224064,28
75981863,30
134035576,0
40019417,26
12258,30
12455,30
48246400,30
18617258,0
33280598,16
30370968,30
109622185,30
28285259,30
44686,30
72731598,18
44497484,30
9793,30
11683133,30
26340507,30
43560527,30
32414317,30
22205189,30
31208917,30
6761827,30
691908,30
20360454,30
28281221,30
3542660,30
6978,30
16999311,30
92098606,30
106866205,14
4850646,30
114292895,22
19753,30
18659489,26
9146339,30
88559474,30
99027218,0
12302,30
5606650,15
11775876,30
105420485,30
2914062,30
234076,16
18775388,12
85826024,30
7115486,30
55980472,15
9098258,30
30994287,30
13455701,30
37257575,30
7332776,30
1996840,30
22049966,30
11753547,23
31843913,6
3491561,19
104387791,30
10609599,30
540,30
85999336,7
8660746,30
31200499,30
15717,30
63852919,30
4695593,30
48212908,30
90114548,30
90326816,8
114290138,3
28602846,30
16686773,30
801441,30
7464496,30
19125914,30
6277287,17
72854201,30
921636,5
56109345,30
171390,30
28032966,30
2423838,30
17674564,30
89859833,14
5854,30
122487177,1
24397,30
10234845,30
7688161,30
62661479,30
10243011,30
9236220,30
19624216,30
100040898,14
90312129,30
2925968,30
20047365,28
14767808,14
21603,30
11632333,30
16719912,24
36507912,30
8034368,22
11655382,30
30963788,22
4812279,30
106912906,30
9204,30
66821769,21
17678211,30
18677284,30
35339700,30
134248794,3
83747149,28
22041711,30
28554749,30
45297,30
67161940,28
87541521,30
833,30
54802,30
37152407,30
7774687,14
14839710,30
9833946,30
41586698,22
20558250,30
25302,30
44628682,20
39250028,30
9509918,30
83577808,30
2367064,30
44902485,30
8407619,30
23052,30
78674840,30
35380430,30
46308211,30
1397979,30
53944969,2
4626059,22
3918,30
79673752,30
12938227,23
41335790,17
111587193,17
3494536,30
11734247,30
108040582,6
22044500,30
75061625,30
4485,30
45316,30
99020429,30
107299370,5
3449944,7
29942548,23
117362,30
937,30
59590608,30
67866506,30
9509377,30
5770724,25
25601631,30
92535,30
17447766,1
32567918,30
66095099,30
80531016,30
14317844,30
3828093,30
103160016,30
4952344,30
66747187,30
1888135,30
4069255,30
70102168,30
127717853,2
30513547,30
6705344,30
21994967,30
4591222,30
53732707,30
7099452,30
11688174,30
38706,11
3922354,30
56364995,26
9697927,30
3086778,30
4898514,30
79755217,30
22070291,30
3282223,30
128346374,3
3601879,30
11441,30
31723,30
1091,30
38011654,0
124161008,17
66171530,30
71600049,14
30581671,14
25813828,30
10507922,30
16351512,30
84185550,30
7511,30
57412719,0
22068434,23
113334833,30
16333,30
27422418,30
11598286,0
7344638,30
1366021,30
19208527,30
34526896,30
18108239,30
105680986,30
34347383,30
30490003,30
3542506,30
42283996,0
33590143,30
847,30
32920681,30
12106994,4
7295625,30
2363758,30
31779,30
10740219,15
27691351,19
22150689,26
13133125,30
26177071,30
4222978,19
38717,30
17865584,0
135791778,1
131719,30
11552917,30
50719,30
5507363,30
11660227,30
57786306,30
4128054,30
20614901,30
6715060,21
31429689,30
16501144,30
19860693,30
4876188,30
7554838,23
12662470,5
10456,30
21260189,30
17524682,30
4324718,14
10490024,30
4952331,30
29018970,30
21039143,30
93112670,8
88551543,30
43248117,30
27541493,30
83161964,30
205522,30
100087319,7
9293083,30
102038495,30
91237979,18
4952338,30
19660635,30
89456754,15
4135,30
8804952,30
27076731,4
2989453,30
82211454,7
36928489,30
112568075,2
2254383,30
11354049,20
135846168,4
125342707,30
16401190,30
7037358,30
32171718,0
119939788,30
6233661,0
218725,30
62379381,30
2253054,30
36508366,0
961,30
7625087,30
28110457,30
1965,30
30023042,5
29909647,2
65395688,29
73972495,17
60485080,15
1989677,30
54282526,30
94009005,30
36656181,30
14642,30
25955096,30
38872373,30
75225918,30
91909901,4
56611135,23
15433727,30
35825149,11
7485787,30
85156269,29
21276396,30
38641562,3
21639503,30
27321561,30
14770243,13
42206362,15
10505039,22
10592123,30
52631744,30
11151475,30
13102630,23
5870189,30
15281203,22
17147581,30
13360321,14
614053,30
30383770,30
15673081,30
4751,30
98426793,30
21971963,30
10042485,30
4068,30
30777963,30
4026568,30
96641123,0
13884968,6
22070816,30
14670187,30
112673664,10
6400325,30
48706,30
1351469,30
34493140,10
28243812,30
112999,30
49203570,0
58572,30
5660659,20
107879525,30
43167073,21
19507745,2
9956085,30
3929178,1
44561402,30
87440252,30
4952323,30
71570,30
127218754,21
34301351,27
67570350,0
134225193,5
15601873,30
66697325,12
22103199,30
58364,30
16286325,30
22196424,0
14102800,5
37584921,30
45466342,0
3536183,30
63447246,30
11831276,30
7360603,19
12794178,30
61162230,30
46894427,30
10491628,30
